city,cityLabel
http://www.wikidata.org/entity/Q3883,Catanzaro
http://www.wikidata.org/entity/Q5475,Treviso
http://www.wikidata.org/entity/Q5968,Cuneo
http://www.wikidata.org/entity/Q6046,Novara
http://www.wikidata.org/entity/Q6088,Alessandria
http://www.wikidata.org/entity/Q6122,Asti
http://www.wikidata.org/entity/Q6221,Brescia
http://www.wikidata.org/entity/Q6231,Cremona
http://www.wikidata.org/entity/Q6252,Monza
http://www.wikidata.org/entity/Q6285,Varese
http://www.wikidata.org/entity/Q6537,Vicenza
http://www.wikidata.org/entity/Q6681,Crotone
http://www.wikidata.org/entity/Q6737,Castellammare di Stabia
http://www.wikidata.org/entity/Q279,Modena
http://www.wikidata.org/entity/Q490,Milano
http://www.wikidata.org/entity/Q546,Trieste
http://www.wikidata.org/entity/Q617,Padova
http://www.wikidata.org/entity/Q628,Bergamo
http://www.wikidata.org/entity/Q641,Venezia
http://www.wikidata.org/entity/Q1083,Salerno
http://www.wikidata.org/entity/Q1308,Como
http://www.wikidata.org/entity/Q1449,Genova
http://www.wikidata.org/entity/Q1891,Bologna
http://www.wikidata.org/entity/Q1903,Catania
http://www.wikidata.org/entity/Q1906,Caserta
http://www.wikidata.org/entity/Q18021,Biella
http://www.wikidata.org/entity/Q19300,Molfetta
http://www.wikidata.org/entity/Q8621,Terni
http://www.wikidata.org/entity/Q13318,Imperia
http://www.wikidata.org/entity/Q13320,Savona
http://www.wikidata.org/entity/Q13329,Piacenza
http://www.wikidata.org/entity/Q13360,Reggio Emilia
http://www.wikidata.org/entity/Q13362,Ferrara
http://www.wikidata.org/entity/Q13364,Ravenna
http://www.wikidata.org/entity/Q13367,Forlì
http://www.wikidata.org/entity/Q13369,Rimini
http://www.wikidata.org/entity/Q13372,Carrara
http://www.wikidata.org/entity/Q13373,Lucca
http://www.wikidata.org/entity/Q13375,Pisa
http://www.wikidata.org/entity/Q13377,Prato
http://www.wikidata.org/entity/Q13386,Lecce
http://www.wikidata.org/entity/Q13410,Latina
http://www.wikidata.org/entity/Q13464,Foggia
http://www.wikidata.org/entity/Q13470,Barletta
http://www.wikidata.org/entity/Q13486,Andria
http://www.wikidata.org/entity/Q13498,Taranto
http://www.wikidata.org/entity/Q13625,Vibo Valentia
http://www.wikidata.org/entity/Q13629,Sassari
http://www.wikidata.org/entity/Q13666,Messina
http://www.wikidata.org/entity/Q13670,Siracusa
http://www.wikidata.org/entity/Q13678,Agrigento
http://www.wikidata.org/entity/Q2028,Verona
http://www.wikidata.org/entity/Q2044,Firenze
http://www.wikidata.org/entity/Q2634,Napoli
http://www.wikidata.org/entity/Q2656,Palermo
http://www.wikidata.org/entity/Q2683,Parma
http://www.wikidata.org/entity/Q2704,Pescara
http://www.wikidata.org/entity/Q2751,Siena
http://www.wikidata.org/entity/Q2759,Urbino
http://www.wikidata.org/entity/Q2790,Udine
http://www.wikidata.org/entity/Q3376,Trento
http://www.wikidata.org/entity/Q3415,Ancona
http://www.wikidata.org/entity/Q3437,Perugia
http://www.wikidata.org/entity/Q3476,L'Aquila
http://www.wikidata.org/entity/Q3519,Bari
http://www.wikidata.org/entity/Q3543,Potenza
http://www.wikidata.org/entity/Q3639,Verbania
http://www.wikidata.org/entity/Q216853,Camaiore
http://www.wikidata.org/entity/Q243456,Cuma
http://www.wikidata.org/entity/Q1134283,Cornus
http://www.wikidata.org/entity/Q1137496,Neapolis
http://www.wikidata.org/entity/Q1013831,Gravisca
http://www.wikidata.org/entity/Q780529,Cortuosa
http://www.wikidata.org/entity/Q952173,Selinunte
http://www.wikidata.org/entity/Q969998,Inico
http://www.wikidata.org/entity/Q33962,Sanremo
http://www.wikidata.org/entity/Q51878,San Vito dei Normanni
http://www.wikidata.org/entity/Q52981,Faenza
http://www.wikidata.org/entity/Q72125,Giugliano in Campania
http://www.wikidata.org/entity/Q128139,Priverno
http://www.wikidata.org/entity/Q131605,Merano
http://www.wikidata.org/entity/Q175903,Ischia di Castro
http://www.wikidata.org/entity/Q533922,Ostra antica
http://www.wikidata.org/entity/Q602564,Thurii
http://www.wikidata.org/entity/Q1436362,Falerii
http://www.wikidata.org/entity/Q1655395,Iaitas
http://www.wikidata.org/entity/Q1665908,Interamna Lirenas
http://www.wikidata.org/entity/Q1989713,Hippana
http://www.wikidata.org/entity/Q2031761,Arcetri
http://www.wikidata.org/entity/Q2106396,area archeologica di Potentia
http://www.wikidata.org/entity/Q2254425,Vescia
http://www.wikidata.org/entity/Q2260811,Lilibeo
http://www.wikidata.org/entity/Q2262528,Entella
http://www.wikidata.org/entity/Q2275983,Eryx
http://www.wikidata.org/entity/Q3040241,Drepanon
http://www.wikidata.org/entity/Q3246886,Baia di Chia
http://www.wikidata.org/entity/Q3332718,Medullum
http://www.wikidata.org/entity/Q3620580,Apeneste
http://www.wikidata.org/entity/Q3622022,città metropolitana di Cagliari
http://www.wikidata.org/entity/Q3745777,Finziade
http://www.wikidata.org/entity/Q3782784,Halyciae
http://www.wikidata.org/entity/Q3874838,Nerulum
http://www.wikidata.org/entity/Q3878801,Noto antica
http://www.wikidata.org/entity/Q3892731,Palma
http://www.wikidata.org/entity/Q3983093,Temesa
http://www.wikidata.org/entity/Q3991144,Tibula
http://www.wikidata.org/entity/Q3998737,Tridentum
http://www.wikidata.org/entity/Q4515627,Q4515627
http://www.wikidata.org/entity/Q4691586,Q4691586
http://www.wikidata.org/entity/Q4810310,Assoro
http://www.wikidata.org/entity/Q9160295,Q9160295
http://www.wikidata.org/entity/Q11753303,Q11753303
http://www.wikidata.org/entity/Q11925576,Q11925576
http://www.wikidata.org/entity/Q11936119,Q11936119
http://www.wikidata.org/entity/Q11939937,Q11939937
http://www.wikidata.org/entity/Q11951823,Q11951823
http://www.wikidata.org/entity/Q13635068,Hybla Heraia
http://www.wikidata.org/entity/Q16612682,Tellenae
http://www.wikidata.org/entity/Q20107809,Q20107809
http://www.wikidata.org/entity/Q20108000,Q20108000
http://www.wikidata.org/entity/Q20108679,Q20108679
http://www.wikidata.org/entity/Q30027673,Monfalcone
http://www.wikidata.org/entity/Q30029393,Riva del Garda
http://www.wikidata.org/entity/Q35969205,Heraclia
http://www.wikidata.org/entity/Q51885230,Q51885230
http://www.wikidata.org/entity/Q63884249,Sortino diruta
